qid,vid,duration_bin,cohort,p3_location_failure,hard_peak_start_sec,hard_peak_end_sec,hard_peak_center_sec,gt_duration_sec,window_length_sec,gt_window_center_sec,hard_window_center_sec,audio_path,status,blocked_reason,S_GT,S_HARD,S_GT_minus_S_HARD,comparison,native_pipeline
-nQHwrRLfc0_2,-nQHwrRLfc0,0-2s,harmful,0,0.0,12.0,6.0,1.0,,,6.0,raw_audio/-nQHwrRLfc0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-oy0BkpMGAk_1,-oy0BkpMGAk,2-5s,control,0,5.0,14.0,9.5,4.0,,,9.5,raw_audio/-oy0BkpMGAk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
-oy0BkpMGAk_3,-oy0BkpMGAk,2-5s,control,1,24.0,29.0,26.5,2.0,,,26.5,raw_audio/-oy0BkpMGAk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
096oTVzc5Gs_4,096oTVzc5Gs,0-2s,control,0,0.0,7.0,3.5,1.0,,,3.5,raw_audio/096oTVzc5Gs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0AsXkZkqelg_1,0AsXkZkqelg,2-5s,harmful,0,4.0,28.0,16.0,4.0,,,16.0,raw_audio/0AsXkZkqelg.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0AsXkZkqelg_2,0AsXkZkqelg,2-5s,control,0,14.0,46.0,30.0,3.0,,,30.0,raw_audio/0AsXkZkqelg.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0_K6OKtoBBU_1,0_K6OKtoBBU,2-5s,control,0,17.0,18.0,17.5,2.0,,,17.5,raw_audio/0_K6OKtoBBU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0_K6OKtoBBU_3,0_K6OKtoBBU,2-5s,control,0,16.0,22.0,19.0,2.0,,,19.0,raw_audio/0_K6OKtoBBU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0a9wVat2PWk_2,0a9wVat2PWk,2-5s,harmful,1,109.0,113.0,111.0,4.0,,,111.0,raw_audio/0a9wVat2PWk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0a9wVat2PWk_3,0a9wVat2PWk,2-5s,control,0,0.0,6.0,3.0,3.0,,,3.0,raw_audio/0a9wVat2PWk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0a9wVat2PWk_4,0a9wVat2PWk,2-5s,harmful,0,110.0,113.0,111.5,4.0,,,111.5,raw_audio/0a9wVat2PWk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0fMXnvD38zI_1,0fMXnvD38zI,2-5s,control,1,201.0,204.0,202.5,2.0,,,202.5,raw_audio/0fMXnvD38zI.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
0yETgW44MZU_2,0yETgW44MZU,2-5s,control,1,8.0,14.0,11.0,4.0,,,11.0,raw_audio/0yETgW44MZU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
14izd_i3ryE_3,14izd_i3ryE,2-5s,harmful,1,41.0,52.0,46.5,2.0,,,46.5,raw_audio/14izd_i3ryE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1FNJbN-eHY4_1,1FNJbN-eHY4,2-5s,harmful,1,0.0,28.0,14.0,4.0,,,14.0,raw_audio/1FNJbN-eHY4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1GgEpRZDWN0_1,1GgEpRZDWN0,2-5s,harmful,1,21.0,25.0,23.0,2.0,,,23.0,raw_audio/1GgEpRZDWN0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1IoHRTUp86c_3,1IoHRTUp86c,2-5s,control,1,24.0,26.0,25.0,2.0,,,25.0,raw_audio/1IoHRTUp86c.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1Og2TJ3bXW0_1,1Og2TJ3bXW0,2-5s,control,1,52.0,87.0,69.5,2.0,,,69.5,raw_audio/1Og2TJ3bXW0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1Og2TJ3bXW0_2,1Og2TJ3bXW0,2-5s,harmful,1,71.0,77.0,74.0,3.0,,,74.0,raw_audio/1Og2TJ3bXW0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1Og2TJ3bXW0_4,1Og2TJ3bXW0,2-5s,control,0,54.0,77.0,65.5,2.0,,,65.5,raw_audio/1Og2TJ3bXW0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1WTSW96XP6E_2,1WTSW96XP6E,2-5s,harmful,1,126.0,128.0,127.0,2.0,,,127.0,raw_audio/1WTSW96XP6E.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1slvoNgzBLE_2,1slvoNgzBLE,2-5s,control,0,55.0,61.0,58.0,3.0,,,58.0,raw_audio/1slvoNgzBLE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1slvoNgzBLE_4,1slvoNgzBLE,2-5s,control,1,92.0,94.0,93.0,3.0,,,93.0,raw_audio/1slvoNgzBLE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1vCYiVvZ7VE_1,1vCYiVvZ7VE,2-5s,control,1,186.0,188.0,187.0,3.0,,,187.0,raw_audio/1vCYiVvZ7VE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
1vCYiVvZ7VE_2,1vCYiVvZ7VE,2-5s,control,0,194.0,195.0,194.5,2.0,,,194.5,raw_audio/1vCYiVvZ7VE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
27HIamF8pKo_1,27HIamF8pKo,2-5s,control,0,119.0,135.0,127.0,3.0,,,127.0,raw_audio/27HIamF8pKo.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
27HIamF8pKo_3,27HIamF8pKo,0-2s,harmful,0,8.0,23.0,15.5,1.0,,,15.5,raw_audio/27HIamF8pKo.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2JutOgAnqWA_2,2JutOgAnqWA,2-5s,control,1,48.0,69.0,58.5,4.0,,,58.5,raw_audio/2JutOgAnqWA.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2KEfkDO6hlA_1,2KEfkDO6hlA,2-5s,control,1,22.0,28.0,25.0,3.0,,,25.0,raw_audio/2KEfkDO6hlA.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2KR0C5ysO8o_1,2KR0C5ysO8o,2-5s,control,0,34.0,40.0,37.0,4.0,,,37.0,raw_audio/2KR0C5ysO8o.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2KR0C5ysO8o_2,2KR0C5ysO8o,2-5s,control,0,12.0,26.0,19.0,2.0,,,19.0,raw_audio/2KR0C5ysO8o.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2RjqBRzmxaM_3,2RjqBRzmxaM,2-5s,control,1,0.0,16.0,8.0,2.0,,,8.0,raw_audio/2RjqBRzmxaM.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2RjqBRzmxaM_4,2RjqBRzmxaM,2-5s,control,0,103.0,108.0,105.5,4.0,,,105.5,raw_audio/2RjqBRzmxaM.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2RjqBRzmxaM_5,2RjqBRzmxaM,2-5s,control,0,13.0,38.0,25.5,2.0,,,25.5,raw_audio/2RjqBRzmxaM.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
2a6GNu6uCDE_3,2a6GNu6uCDE,2-5s,control,0,204.0,209.0,206.5,3.0,,,206.5,raw_audio/2a6GNu6uCDE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3RultJjvTWI_2,3RultJjvTWI,0-2s,harmful,1,3.0,13.0,8.0,1.0,,,8.0,raw_audio/3RultJjvTWI.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3VHpLxtd498_1,3VHpLxtd498,0-2s,control,1,122.0,123.0,122.5,1.0,1.0,0.5,122.5,raw_audio/3VHpLxtd498.wav,VALID,,7.380223751068115,8.105911254882812,-0.7256875038146973,HARD>GT,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3VHpLxtd498_3,3VHpLxtd498,0-2s,harmful,1,105.0,106.0,105.5,1.0,1.0,97.5,105.5,raw_audio/3VHpLxtd498.wav,VALID,,-1.2260767221450806,-1.8305163383483887,0.6044396162033081,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3VHpLxtd498_4,3VHpLxtd498,2-5s,harmful,0,105.0,106.0,105.5,3.0,3.0,73.5,105.5,raw_audio/3VHpLxtd498.wav,VALID,,-1.1564730405807495,0.9390779733657837,-2.095551013946533,HARD>GT,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3qTL7QRk-tg_4,3qTL7QRk-tg,2-5s,control,0,59.0,74.0,66.5,3.0,,,66.5,raw_audio/3qTL7QRk-tg.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3rna9zo5ZOs_2,3rna9zo5ZOs,2-5s,control,0,48.0,53.0,50.5,3.0,,,50.5,raw_audio/3rna9zo5ZOs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
3xDZ-kdGE3o_2,3xDZ-kdGE3o,2-5s,control,0,3.0,6.0,4.5,3.0,,,4.5,raw_audio/3xDZ-kdGE3o.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
473wBEwC35M_1,473wBEwC35M,2-5s,harmful,1,77.0,79.0,78.0,2.0,,,78.0,raw_audio/473wBEwC35M.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4CAMv5nlr-0_1,4CAMv5nlr-0,2-5s,control,0,40.0,57.0,48.5,3.0,,,48.5,raw_audio/4CAMv5nlr-0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4CAMv5nlr-0_2,4CAMv5nlr-0,2-5s,control,0,38.0,40.0,39.0,3.0,,,39.0,raw_audio/4CAMv5nlr-0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4IeDBwyQ9ZQ_4,4IeDBwyQ9ZQ,2-5s,control,0,175.0,179.0,177.0,3.0,,,177.0,raw_audio/4IeDBwyQ9ZQ.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4UPOUGVMlEs_3,4UPOUGVMlEs,2-5s,harmful,0,42.0,46.0,44.0,2.0,,,44.0,raw_audio/4UPOUGVMlEs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4_DjmCg8Ra8_1,4_DjmCg8Ra8,0-2s,control,1,73.0,79.0,76.0,1.0,,,76.0,raw_audio/4_DjmCg8Ra8.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4ftDFi4684Y_1,4ftDFi4684Y,2-5s,control,1,74.0,79.0,76.5,2.0,,,76.5,raw_audio/4ftDFi4684Y.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4fz0-Kx2oNs_1,4fz0-Kx2oNs,2-5s,control,1,7.0,16.0,11.5,4.0,,,11.5,raw_audio/4fz0-Kx2oNs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
4fz0-Kx2oNs_3,4fz0-Kx2oNs,2-5s,control,0,7.0,25.0,16.0,2.0,,,16.0,raw_audio/4fz0-Kx2oNs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
52IxrdTxGs4_2,52IxrdTxGs4,0-2s,harmful,0,196.0,206.0,201.0,1.0,,,201.0,raw_audio/52IxrdTxGs4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
52IxrdTxGs4_3,52IxrdTxGs4,2-5s,control,1,139.0,141.0,140.0,2.0,,,140.0,raw_audio/52IxrdTxGs4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
52IxrdTxGs4_4,52IxrdTxGs4,0-2s,harmful,0,0.0,29.0,14.5,1.0,,,14.5,raw_audio/52IxrdTxGs4.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
5G6b_QWL3nY_3,5G6b_QWL3nY,2-5s,harmful,0,202.0,206.0,204.0,4.0,4.0,64.0,204.0,raw_audio/5G6b_QWL3nY.wav,VALID,,8.951807975769043,1.0298402309417725,7.9219677448272705,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
5G6b_QWL3nY_4,5G6b_QWL3nY,2-5s,control,1,11.0,37.0,24.0,2.0,2.0,114.0,24.0,raw_audio/5G6b_QWL3nY.wav,VALID,,1.367661476135254,1.9750018119812012,-0.6073403358459473,HARD>GT,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
5t6tSW0yT40_4,5t6tSW0yT40,0-2s,control,1,28.0,38.0,33.0,1.0,,,33.0,raw_audio/5t6tSW0yT40.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
67BsqRkh-dU_2,67BsqRkh-dU,2-5s,control,0,0.0,13.0,6.5,4.0,,,6.5,raw_audio/67BsqRkh-dU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
6Nvu6EcpdE8_2,6Nvu6EcpdE8,0-2s,harmful,0,39.0,40.0,39.5,1.0,1.0,45.5,39.5,raw_audio/6Nvu6EcpdE8.wav,VALID,,1.8660575151443481,1.673685073852539,0.19237244129180908,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
6Nvu6EcpdE8_3,6Nvu6EcpdE8,0-2s,harmful,1,71.0,72.0,71.5,1.0,1.0,175.5,71.5,raw_audio/6Nvu6EcpdE8.wav,VALID,,12.087250709533691,11.604337692260742,0.4829130172729492,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
6OlHuvJR_Dk_1,6OlHuvJR_Dk,2-5s,control,0,141.0,148.0,144.5,4.0,,,144.5,raw_audio/6OlHuvJR_Dk.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
6ZwYgzcN6Is_2,6ZwYgzcN6Is,2-5s,control,0,41.0,42.0,41.5,3.0,,,41.5,raw_audio/6ZwYgzcN6Is.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
6pssFJ0m-kU_3,6pssFJ0m-kU,2-5s,control,0,19.0,30.0,24.5,4.0,,,24.5,raw_audio/6pssFJ0m-kU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7JWHbs3gu1w_1,7JWHbs3gu1w,2-5s,harmful,1,263.0,281.0,272.0,2.0,2.0,62.0,272.0,raw_audio/7JWHbs3gu1w.wav,VALID,,-0.8129939436912537,-2.712310314178467,1.8993163704872131,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7JWHbs3gu1w_2,7JWHbs3gu1w,2-5s,control,0,263.0,278.0,270.5,2.0,2.0,184.0,270.5,raw_audio/7JWHbs3gu1w.wav,VALID,,4.352488994598389,1.289931058883667,3.0625579357147217,GT>HARD,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7P0N61TVOxE_3,7P0N61TVOxE,2-5s,harmful,1,34.0,53.0,43.5,2.0,,,43.5,raw_audio/7P0N61TVOxE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7P6lcyeDKNI_1,7P6lcyeDKNI,2-5s,harmful,1,20.0,21.0,20.5,2.0,,,20.5,raw_audio/7P6lcyeDKNI.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7XXSOzDQ2z0_2,7XXSOzDQ2z0,2-5s,control,1,80.0,99.0,89.5,4.0,,,89.5,raw_audio/7XXSOzDQ2z0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7XXSOzDQ2z0_3,7XXSOzDQ2z0,2-5s,harmful,1,257.0,261.0,259.0,4.0,,,259.0,raw_audio/7XXSOzDQ2z0.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7bO0AJI-ihs_1,7bO0AJI-ihs,2-5s,control,0,23.0,32.0,27.5,3.0,,,27.5,raw_audio/7bO0AJI-ihs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7bO0AJI-ihs_2,7bO0AJI-ihs,2-5s,control,0,18.0,26.0,22.0,4.0,,,22.0,raw_audio/7bO0AJI-ihs.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
7upINC4seBw_1,7upINC4seBw,2-5s,control,0,64.0,65.0,64.5,3.0,,,64.5,raw_audio/7upINC4seBw.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
83j4GgHXTLE_1,83j4GgHXTLE,2-5s,harmful,0,90.0,96.0,93.0,3.0,,,93.0,raw_audio/83j4GgHXTLE.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
8OTd45_6cvY_2,8OTd45_6cvY,2-5s,control,0,23.0,34.0,28.5,2.0,,,28.5,raw_audio/8OTd45_6cvY.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
8OTd45_6cvY_4,8OTd45_6cvY,2-5s,control,0,172.0,176.0,174.0,4.0,,,174.0,raw_audio/8OTd45_6cvY.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
8b9z7N25DmU_1,8b9z7N25DmU,2-5s,control,0,55.0,66.0,60.5,2.0,,,60.5,raw_audio/8b9z7N25DmU.wav,BLOCKED,original WAV unavailable; no stored-feature substitute allowed,,,,,official msclap CLAP audio_encoder/caption_encoder; L2-normalized projected vectors; logit_scale.exp() dot product
