top1_query_index,initial_gt_distance_sec,initial_hard_distance_sec,final_gt_distance_sec,final_hard_distance_sec,hard_distance_change_sec,gt_distance_change_sec,reference_attraction_flag,classification,reference_centers_sec,final_center_sec,final_width_gt_ratio,qid,vid,duration_bin,cohort,p3_location_failure,hard_peak_center_sec
9,15.163975894451141,2.3360241055488586,1.5,16.0,13.663975894451141,-13.663975894451141,False,approach_gt,"[27.663976669311523, 11.651448249816895]",14.0,3.3333333333333335,0AsXkZkqelg_2,0AsXkZkqelg,2-5s,control,0,30.0
9,2.811061218380928,7.688938781619072,0.5,11.0,3.311061218380928,-2.311061218380928,False,approach_gt,"[9.811060905456543, 5.450455665588379]",6.5,1.5,0_K6OKtoBBU_1,0_K6OKtoBBU,2-5s,control,0,17.5
1,4.2516109347343445,8.251610934734344,0.5,3.5,-4.7516109347343445,-3.7516109347343445,False,approach_gt,"[27.251611709594727, 24.79769515991211]",22.5,1.5,0_K6OKtoBBU_3,0_K6OKtoBBU,2-5s,control,0,19.0
1,115.02431607246399,23.02431607246399,92.0,0.0,-23.02431607246399,-23.02431607246399,True,begin_hard_and_remain,"[134.02432250976562, 110.28667449951172]",111.0,2.5,0a9wVat2PWk_2,0a9wVat2PWk,2-5s,harmful,1,111.0
1,14.52431607246399,131.024316072464,0.0,108.5,-22.52431607246399,-14.52431607246399,False,approach_gt,"[134.02432250976562, 113.71602630615234]",111.5,3.0,0a9wVat2PWk_3,0a9wVat2PWk,2-5s,control,0,3.0
1,124.97568392753601,22.52431607246399,146.5,1.0,-21.52431607246399,21.52431607246399,True,begin_hard_and_remain,"[134.02432250976562, 114.29743194580078]",112.5,2.75,0a9wVat2PWk_4,0a9wVat2PWk,2-5s,harmful,0,111.5
9,33.25112074613571,154.2488792538643,7.0,180.5,26.25112074613571,-26.25112074613571,False,approach_gt,"[48.251121520996094, 32.77350997924805]",22.0,7.0,0fMXnvD38zI_1,0fMXnvD38zI,2-5s,control,1,202.5
7,34.667187571525574,13.332812428474426,34.5,13.5,0.16718757152557373,-0.16718757152557373,False,begin_hard_and_remain,"[24.332813262939453, 24.989334106445312]",24.5,4.75,0yETgW44MZU_2,0yETgW44MZU,2-5s,control,1,11.0
7,154.16098982095718,34.339010179042816,188.5,0.0,-34.339010179042816,34.339010179042816,True,begin_hard_and_remain,"[80.8390121459961, 53.167144775390625]",46.5,6.5,14izd_i3ryE_3,14izd_i3ryE,2-5s,harmful,1,46.5
9,1.5318387597799301,14.46816124022007,23.5,7.5,-6.96816124022007,21.96816124022007,True,begin_gt_move_hard,"[28.46816062927246, 7.844534873962402]",6.5,1.75,1FNJbN-eHY4_1,1FNJbN-eHY4,2-5s,harmful,1,14.0
9,44.25112074613571,25.25112074613571,14.0,5.0,-20.25112074613571,-30.25112074613571,True,begin_hard_and_remain,"[48.251121520996094, 16.398540496826172]",18.0,5.0,1GgEpRZDWN0_1,1GgEpRZDWN0,2-5s,harmful,1,23.0
5,86.16165900230408,131.16165900230408,121.5,166.5,35.33834099769592,35.33834099769592,False,approach_neither,"[156.16165161132812, 192.68008422851562]",191.5,9.5,1IoHRTUp86c_3,1IoHRTUp86c,2-5s,control,1,25.0
7,30.10937476158142,11.609374761581421,22.5,4.0,-7.609374761581421,-7.609374761581421,True,begin_hard_and_remain,"[81.109375, 72.5831069946289]",73.5,4.5,1Og2TJ3bXW0_1,1Og2TJ3bXW0,2-5s,control,1,69.5
7,20.60937476158142,7.109374761581421,13.0,0.5,-6.609374761581421,-7.609374761581421,True,begin_hard_and_remain,"[81.109375, 71.38583374023438]",73.5,1.6666666666666667,1Og2TJ3bXW0_2,1Og2TJ3bXW0,2-5s,harmful,1,74.0
7,48.89062523841858,15.609374761581421,57.5,7.0,-8.609374761581421,8.609374761581421,True,begin_hard_and_remain,"[81.109375, 65.91353607177734]",72.5,3.5,1Og2TJ3bXW0_4,1Og2TJ3bXW0,2-5s,control,0,65.5
0,38.92972922325134,75.92972922325134,32.0,69.0,-6.929729223251343,-6.929729223251343,False,approach_gt,"[202.9297332763672, 203.05799865722656]",196.0,5.0,1WTSW96XP6E_2,1WTSW96XP6E,2-5s,harmful,1,127.0
9,9.590283676981926,9.909716323018074,1.0,18.5,8.590283676981926,-8.590283676981926,False,approach_gt,"[48.09028244018555, 43.55337905883789]",39.5,7.666666666666667,1slvoNgzBLE_2,1slvoNgzBLE,2-5s,control,0,58.0
6,118.64908537268639,15.850914627313614,128.5,6.0,-9.850914627313614,9.850914627313614,True,begin_hard_and_remain,"[108.85091400146484, 107.18406677246094]",99.0,4.666666666666667,1slvoNgzBLE_4,1slvoNgzBLE,2-5s,control,1,93.0
4,0.736722469329834,13.236722469329834,13.5,1.0,-12.236722469329834,12.763277530670166,True,begin_gt_move_hard,"[173.76327514648438, 189.51097106933594]",188.0,3.3333333333333335,1vCYiVvZ7VE_1,1vCYiVvZ7VE,2-5s,control,1,187.0
4,6.236722469329834,20.736722469329834,2.0,5.5,-15.236722469329834,-4.236722469329834,False,approach_gt,"[173.76327514648438, 191.80679321289062]",189.0,4.0,1vCYiVvZ7VE_2,1vCYiVvZ7VE,2-5s,control,0,194.5
3,10.822474956512451,20.32247495651245,0.5,9.0,-11.322474956512451,-10.322474956512451,False,approach_gt,"[106.67752838134766, 117.87031555175781]",118.0,1.3333333333333333,27HIamF8pKo_1,27HIamF8pKo,2-5s,control,0,127.0
3,19.82247495651245,91.17752504348755,0.0,111.0,19.82247495651245,-19.82247495651245,False,approach_gt,"[106.67752838134766, 125.52426147460938]",126.5,13.0,27HIamF8pKo_3,27HIamF8pKo,0-2s,harmful,0,15.5
7,52.858020663261414,0.6419793367385864,54.0,0.5,-0.14197933673858643,1.1419793367385864,True,begin_hard_and_remain,"[57.8580207824707, 52.78528594970703]",59.0,5.0,2JutOgAnqWA_2,2JutOgAnqWA,2-5s,control,1,58.5
9,16.97503711283207,12.47503711283207,4.0,8.5,-3.9750371128320694,-12.97503711283207,False,approach_gt,"[37.47503662109375, 14.880919456481934]",16.5,2.3333333333333335,2KEfkDO6hlA_1,2KEfkDO6hlA,2-5s,control,1,25.0
8,1.4957962930202484,28.50420370697975,2.0,28.0,-0.5042037069797516,0.5042037069797516,False,approach_neither,"[65.50420379638672, 67.24600219726562]",65.0,1.5,2KR0C5ysO8o_1,2KR0C5ysO8o,2-5s,control,0,37.0
8,10.495796293020248,46.50420370697975,10.5,46.5,-0.004203706979751587,0.004203706979751587,False,approach_neither,"[65.50420379638672, 67.4183349609375]",65.5,2.5,2KR0C5ysO8o_2,2KR0C5ysO8o,2-5s,control,0,19.0
4,9.618648171424866,63.618648171424866,4.5,58.5,-5.118648171424866,-5.118648171424866,False,approach_gt,"[71.61864471435547, 71.79759979248047]",66.5,2.5,2RjqBRzmxaM_3,2RjqBRzmxaM,2-5s,control,1,8.0
5,30.700343370437622,21.200343370437622,8.5,1.0,-20.200343370437622,-22.200343370437622,True,begin_hard_and_remain,"[84.2996597290039, 107.52461242675781]",106.5,1.25,2RjqBRzmxaM_4,2RjqBRzmxaM,2-5s,control,0,105.5
7,13.515520930290222,7.484479069709778,20.0,1.0,-6.484479069709778,6.484479069709778,True,begin_hard_and_remain,"[32.98447799682617, 27.249601364135742]",26.5,12.5,2RjqBRzmxaM_5,2RjqBRzmxaM,2-5s,control,0,25.5
4,2.975608170032501,30.9756081700325,0.5,28.5,-2.475608170032501,-2.475608170032501,False,approach_gt,"[175.52439880371094, 188.39205932617188]",178.0,3.3333333333333335,2a6GNu6uCDE_3,2a6GNu6uCDE,2-5s,control,0,206.5
9,23.590283676981926,40.090283676981926,16.5,0.0,-40.090283676981926,-7.090283676981926,True,begin_gt_move_hard,"[48.09028244018555, 14.066648483276367]",8.0,10.0,3RultJjvTWI_2,3RultJjvTWI,0-2s,harmful,1,8.0
4,141.56322014331818,19.563220143318176,145.5,23.5,3.9367798566818237,3.9367798566818237,False,begin_hard_and_remain,"[142.06321716308594, 149.1173553466797]",146.0,14.0,3VHpLxtd498_1,3VHpLxtd498,0-2s,control,1,122.5
4,44.563220143318176,36.563220143318176,45.5,37.5,0.9367798566818237,0.9367798566818237,False,begin_hard_and_remain,"[142.06321716308594, 147.2723846435547]",143.0,12.0,3VHpLxtd498_3,3VHpLxtd498,0-2s,harmful,1,105.5
4,23.436779856681824,36.563220143318176,23.5,36.5,-0.06322014331817627,0.06322014331817627,False,approach_neither,"[142.06321716308594, 143.10935974121094]",142.0,5.333333333333333,3VHpLxtd498_4,3VHpLxtd498,2-5s,harmful,0,105.5
4,7.549799144268036,44.450200855731964,0.5,51.5,7.049799144268036,-7.049799144268036,False,approach_gt,"[110.95020294189453, 119.97415161132812]",118.0,3.3333333333333335,3qTL7QRk-tg_4,3qTL7QRk-tg,2-5s,control,0,66.5
5,6.513306140899658,3.513306140899658,0.5,3.5,-0.013306140899658203,-6.013306140899658,False,approach_gt,"[46.9866943359375, 54.648006439208984]",54.0,0.6666666666666666,3rna9zo5ZOs_2,3rna9zo5ZOs,2-5s,control,0,50.5
6,3.8367576897144318,19.16324231028557,1.5,11.5,-7.663242310285568,-2.3367576897144318,False,approach_gt,"[23.66324234008789, 18.033031463623047]",16.0,0.6666666666666666,3xDZ-kdGE3o_2,3xDZ-kdGE3o,2-5s,control,0,4.5
6,103.21496450901031,31.214964509010315,82.5,10.5,-20.714964509010315,-20.714964509010315,True,begin_hard_and_remain,"[109.2149658203125, 92.67997741699219]",88.5,7.5,473wBEwC35M_1,473wBEwC35M,2-5s,harmful,1,78.0
1,11.48249238729477,1.9824923872947693,11.5,2.0,0.017507612705230713,0.017507612705230713,False,begin_hard_and_remain,"[50.48249053955078, 52.513145446777344]",50.5,1.6666666666666667,4CAMv5nlr-0_1,4CAMv5nlr-0,2-5s,control,0,48.5
1,1.9824923872947693,11.48249238729477,3.0,12.5,1.0175076127052307,1.0175076127052307,False,approach_neither,"[50.48249053955078, 53.021644592285156]",51.5,1.0,4CAMv5nlr-0_2,4CAMv5nlr-0,2-5s,control,0,39.0
5,48.70576238632202,30.29423761367798,3.0,82.5,52.20576238632202,-45.70576238632202,False,approach_gt,"[207.2942352294922, 257.7112121582031]",259.5,3.0,4IeDBwyQ9ZQ_4,4IeDBwyQ9ZQ,2-5s,control,0,177.0
8,34.836838603019714,3.8368386030197144,31.5,0.5,-3.3368386030197144,-3.3368386030197144,True,begin_hard_and_remain,"[40.16316223144531, 45.367557525634766]",43.5,1.5,4UPOUGVMlEs_3,4UPOUGVMlEs,2-5s,harmful,0,44.0
5,11.93223524093628,59.43223524093628,42.5,90.0,30.56776475906372,30.56776475906372,False,approach_neither,"[135.43223571777344, 166.23269653320312]",166.0,8.0,4_DjmCg8Ra8_1,4_DjmCg8Ra8,0-2s,control,1,76.0
8,17.014719516038895,21.514719516038895,12.0,16.5,-5.014719516038895,-5.014719516038895,False,approach_gt,"[54.98527908325195, 61.178260803222656]",60.0,3.0,4ftDFi4684Y_1,4ftDFi4684Y,2-5s,control,1,76.5
9,46.25112074613571,36.75112074613571,8.0,1.5,-35.25112074613571,-38.25112074613571,True,begin_hard_and_remain,"[48.251121520996094, 19.819429397583008]",10.0,3.0,4fz0-Kx2oNs_1,4fz0-Kx2oNs,2-5s,control,1,11.5
9,85.74887925386429,32.25112074613571,124.5,6.5,-25.75112074613571,38.75112074613571,True,begin_hard_and_remain,"[48.251121520996094, 15.999252319335938]",9.5,7.5,4fz0-Kx2oNs_3,4fz0-Kx2oNs,2-5s,control,0,16.0
3,107.80223453044891,38.697765469551086,145.0,1.5,-37.197765469551086,37.197765469551086,True,begin_hard_and_remain,"[162.30223083496094, 199.50929260253906]",199.5,7.0,52IxrdTxGs4_2,52IxrdTxGs4,0-2s,harmful,0,201.0
4,69.03911525011063,14.960884749889374,85.5,1.5,-13.460884749889374,16.460884749889374,True,begin_hard_and_remain,"[125.03911590576172, 142.16139221191406]",141.5,4.5,52IxrdTxGs4_3,52IxrdTxGs4,2-5s,control,1,140.0
9,54.241704270243645,19.758295729756355,82.5,8.5,-11.258295729756355,28.258295729756355,True,begin_hard_and_remain,"[34.258296966552734, 14.846800804138184]",6.0,10.0,52IxrdTxGs4_4,52IxrdTxGs4,0-2s,harmful,0,14.5
5,105.98127484321594,34.01872515678406,143.5,3.5,-30.518725156784058,37.51872515678406,True,begin_hard_and_remain,"[169.9812774658203, 211.59365844726562]",207.5,2.25,5G6b_QWL3nY_3,5G6b_QWL3nY,2-5s,harmful,0,204.0
6,24.44372910261154,65.55627089738846,48.0,42.0,-23.55627089738846,23.55627089738846,True,begin_gt_move_hard,"[89.5562744140625, 70.77367401123047]",66.0,6.0,5G6b_QWL3nY_4,5G6b_QWL3nY,2-5s,control,1,24.0
9,219.40971632301807,15.090283676981926,237.5,3.0,-12.090283676981926,18.090283676981926,True,begin_hard_and_remain,"[48.09028244018555, 27.873340606689453]",30.0,14.0,5t6tSW0yT40_4,5t6tSW0yT40,0-2s,control,1,33.0
9,16.028101712465286,3.4718982875347137,21.5,2.0,-1.4718982875347137,5.471898287534714,True,begin_hard_and_remain,"[9.971898078918457, 5.459667205810547]",4.5,2.25,67BsqRkh-dU_2,67BsqRkh-dU,2-5s,control,0,6.5
7,11.5469269156456,17.5469269156456,1.5,4.5,-13.0469269156456,-10.0469269156456,False,approach_gt,"[57.04692840576172, 39.90774917602539]",44.0,4.0,6Nvu6EcpdE8_2,6Nvu6EcpdE8,0-2s,harmful,0,39.5
8,74.61396363377571,29.38603636622429,61.5,42.5,13.113963633775711,-13.113963633775711,False,begin_hard_and_remain,"[100.88603973388672, 115.99996948242188]",114.0,12.0,6Nvu6EcpdE8_3,6Nvu6EcpdE8,0-2s,harmful,1,71.5
5,12.734842777252197,42.2348427772522,0.5,11.5,-30.734842777252197,-12.234842777252197,False,approach_gt,"[102.2651596069336, 134.5164337158203]",133.0,1.0,6OlHuvJR_Dk_1,6OlHuvJR_Dk,2-5s,control,0,144.5
0,1.1139457821846008,24.1139457821846,0.5,28.0,3.886054217815399,-0.6139457821846008,False,approach_gt,"[65.61394500732422, 72.7840347290039]",69.5,1.0,6ZwYgzcN6Is_2,6ZwYgzcN6Is,2-5s,control,0,41.5
9,105.48281031847,1.9828103184700012,117.5,14.0,12.017189681529999,12.017189681529999,False,begin_hard_and_remain,"[22.517189025878906, 13.587360382080078]",10.5,2.25,6pssFJ0m-kU_3,6pssFJ0m-kU,2-5s,control,0,24.5
3,13.453232765197754,46.453232765197754,29.5,3.5,-42.953232765197754,16.046767234802246,True,begin_gt_move_hard,"[225.54676818847656, 270.571533203125]",268.5,6.5,7JWHbs3gu1w_1,7JWHbs3gu1w,2-5s,harmful,1,272.0
3,41.546767234802246,44.953232765197754,82.5,4.0,-40.953232765197754,40.953232765197754,True,begin_gt_move_hard,"[225.54676818847656, 264.36737060546875]",266.5,3.5,7JWHbs3gu1w_2,7JWHbs3gu1w,2-5s,control,0,270.5
7,78.16098982095718,37.339010179042816,100.5,15.0,-22.339010179042816,22.339010179042816,True,begin_hard_and_remain,"[80.8390121459961, 59.95262145996094]",58.5,6.5,7P0N61TVOxE_3,7P0N61TVOxE,2-5s,harmful,1,43.5
0,22.709621787071228,45.79037821292877,20.5,48.0,2.209621787071228,-2.209621787071228,False,approach_gt,"[66.29037475585938, 69.36396789550781]",68.5,4.5,7P6lcyeDKNI_1,7P6lcyeDKNI,2-5s,harmful,1,20.5
6,6.877185136079788,18.622814863920212,16.5,3.5,-15.122814863920212,9.622814863920212,True,begin_gt_move_hard,"[108.12281799316406, 96.8224868774414]",93.0,7.0,7XXSOzDQ2z0_2,7XXSOzDQ2z0,2-5s,control,1,89.5
8,4.994536489248276,116.99453648924828,4.5,116.5,-0.49453648924827576,-0.49453648924827576,False,approach_gt,"[142.00546264648438, 151.17005920410156]",142.5,2.75,7XXSOzDQ2z0_3,7XXSOzDQ2z0,2-5s,harmful,1,259.0
6,2.1632423102855682,3.8367576897144318,4.0,2.0,-1.8367576897144318,1.8367576897144318,True,begin_gt_move_hard,"[23.66324234008789, 26.548782348632812]",25.5,1.6666666666666667,7bO0AJI-ihs_1,7bO0AJI-ihs,2-5s,control,0,27.5
8,1.921363204717636,9.078636795282364,0.5,10.5,1.421363204717636,-1.421363204717636,False,approach_gt,"[31.078636169433594, 33.99577713012695]",32.5,1.25,7bO0AJI-ihs_2,7bO0AJI-ihs,2-5s,control,0,22.0
6,11.742921531200409,1.757078468799591,7.0,3.5,1.742921531200409,-4.742921531200409,False,begin_hard_and_remain,"[66.257080078125, 65.5895004272461]",61.0,2.0,7upINC4seBw_1,7upINC4seBw,2-5s,control,0,64.5
1,118.21550154685974,5.284498453140259,124.0,0.5,-4.784498453140259,5.784498453140259,True,begin_hard_and_remain,"[98.28450012207031, 97.64665985107422]",92.5,3.0,83j4GgHXTLE_1,83j4GgHXTLE,2-5s,harmful,0,93.0
9,4.090283676981926,19.590283676981926,4.5,14.5,-5.090283676981926,0.40971632301807404,False,approach_neither,"[48.09028244018555, 12.14006519317627]",14.0,4.0,8OTd45_6cvY_2,8OTd45_6cvY,2-5s,control,0,28.5
0,34.24670320749283,28.25329679250717,20.5,42.0,13.746703207492828,-13.746703207492828,False,approach_gt,"[202.2532958984375, 223.08786010742188]",216.0,2.5,8OTd45_6cvY_4,8OTd45_6cvY,2-5s,control,0,174.0
8,16.860389828681946,67.63961017131805,20.0,64.5,-3.139610171318054,3.139610171318054,False,approach_neither,"[128.1396026611328, 129.8670654296875]",125.0,9.0,8b9z7N25DmU_1,8b9z7N25DmU,2-5s,control,0,60.5
7,0.1093747615814209,29.10937476158142,3.0,3.0,-26.10937476158142,2.890625238418579,False,approach_neither,"[81.109375, 54.342140197753906]",55.0,3.0,8o-Y4QP8LWs_2,8o-Y4QP8LWs,2-5s,harmful,1,52.0
4,9.524391829967499,143.0243918299675,0.5,134.0,-9.024391829967499,-9.024391829967499,False,approach_gt,"[175.52439880371094, 173.95863342285156]",166.5,2.5,8ycflE3dIHw_2,8ycflE3dIHw,2-5s,control,0,32.5
9,7.097757771611214,10.097757771611214,1.5,4.5,-5.597757771611214,-5.597757771611214,False,approach_gt,"[11.097757339477539, 7.959207534790039]",5.5,1.75,9F3sutgYTvo_1,9F3sutgYTvo,2-5s,control,0,1.0
4,5.494371116161346,21.005628883838654,7.0,19.5,-1.5056288838386536,1.5056288838386536,False,approach_neither,"[40.50563049316406, 41.17249298095703]",39.0,3.0,9F3sutgYTvo_2,9F3sutgYTvo,2-5s,harmful,0,19.5
8,10.920103400945663,11.920103400945663,0.5,0.5,-11.420103400945663,-10.420103400945663,False,approach_gt,"[107.57989501953125, 114.56397247314453]",119.0,4.0,9dLLsZVRSZI_1,9dLLsZVRSZI,0-2s,harmful,0,119.5
9,16.720777541399002,5.779222458600998,39.0,16.5,10.720777541399002,22.279222458600998,False,begin_hard_and_remain,"[38.27922058105469, 19.724964141845703]",16.0,5.0,9ucb5HYO8ps_2,9ucb5HYO8ps,2-5s,harmful,0,32.5
0,0.8574056029319763,11.357405602931976,0.5,10.0,-1.3574056029319763,-0.3574056029319763,False,approach_gt,"[79.14259338378906, 78.2411880493164]",80.5,1.5,9vZDsGjyh5M_1,9vZDsGjyh5M,2-5s,harmful,0,90.5
9,73.04588961601257,22.954110383987427,96.0,0.0,-22.954110383987427,22.954110383987427,True,begin_hard_and_remain,"[33.45410919189453, 15.545953750610352]",10.5,8.5,9z2OwpftxUE_2,9z2OwpftxUE,2-5s,harmful,1,10.5
9,6.269506871700287,18.230493128299713,24.5,0.0,-18.230493128299713,18.230493128299713,True,begin_gt_move_hard,"[21.230493545532227, 7.767388343811035]",3.0,4.0,A61Mry8zBwE_1,A61Mry8zBwE,0-2s,control,1,3.0
7,1.575260579586029,22.92473942041397,17.5,7.0,-15.924739420413971,15.924739420413971,True,begin_gt_move_hard,"[55.424739837646484, 44.396766662597656]",39.5,10.5,AI1OweEW8C0_1,AI1OweEW8C0,2-5s,control,1,32.5
9,112.02840082347393,17.97159917652607,129.5,0.5,-17.47159917652607,17.47159917652607,True,begin_hard_and_remain,"[32.97159957885742, 18.37092399597168]",15.5,13.5,AI1OweEW8C0_2,AI1OweEW8C0,2-5s,control,1,15.0
5,27.537208914756775,17.037208914756775,9.0,1.5,-15.537208914756775,-18.537208914756775,True,begin_hard_and_remain,"[79.4627914428711, 98.6845703125]",98.0,2.0,AKHZMg9ba30_2,AKHZMg9ba30,2-5s,control,1,96.5
9,17.625560373067856,21.125560373067856,0.0,3.5,-17.625560373067856,-17.625560373067856,False,approach_gt,"[24.125560760498047, 5.829520225524902]",6.5,5.0,Aj_VMUSNjNM_2,Aj_VMUSNjNM,0-2s,control,0,3.0
9,20.230493128299713,109.76950687170029,0.5,129.5,19.730493128299713,-19.730493128299713,False,approach_gt,"[21.230493545532227, 6.208682537078857]",1.5,1.5,AtkD-3GjXMw_1,AtkD-3GjXMw,2-5s,harmful,0,131.0
9,99.05650253593922,15.443497464060783,126.0,11.5,-3.9434974640607834,26.943497464060783,True,begin_hard_and_remain,"[42.94349670410156, 17.807518005371094]",16.0,4.0,Axd__X2rixk_1,Axd__X2rixk,2-5s,harmful,1,27.5
7,7.696666717529297,14.303333282470703,0.5,5.5,-8.803333282470703,-7.196666717529297,False,approach_gt,"[17.303333282470703, 11.143470764160156]",8.5,1.75,BA-lFjpzad4_1,BA-lFjpzad4,2-5s,control,0,3.0
9,2.206427574157715,4.793572425842285,9.5,2.5,-2.293572425842285,7.293572425842285,True,begin_gt_move_hard,"[10.293572425842285, 5.020209312438965]",3.0,4.0,BA-lFjpzad4_2,BA-lFjpzad4,0-2s,harmful,0,5.5
9,3.206427574157715,1.7935724258422852,10.0,5.0,3.206427574157715,6.793572425842285,False,begin_hard_and_remain,"[10.293572425842285, 4.850843906402588]",3.5,1.0,BA-lFjpzad4_3,BA-lFjpzad4,2-5s,control,0,8.5
7,12.696666717529297,11.803333282470703,21.5,3.0,-8.803333282470703,8.803333282470703,True,begin_hard_and_remain,"[17.303333282470703, 11.642827033996582]",8.5,3.5,BA-lFjpzad4_4,BA-lFjpzad4,2-5s,control,0,5.5
9,37.387593150138855,11.387593150138855,23.0,3.0,-8.387593150138855,-14.387593150138855,True,begin_hard_and_remain,"[39.88759231567383, 22.407291412353516]",25.5,13.0,BDpU2Qh77NE_1,BDpU2Qh77NE,0-2s,harmful,1,28.5
9,42.112406849861145,1.387593150138855,51.0,7.5,6.112406849861145,8.887593150138855,False,begin_hard_and_remain,"[39.88759231567383, 28.03985595703125]",31.0,4.0,BDpU2Qh77NE_3,BDpU2Qh77NE,2-5s,control,0,38.5
9,37.409716323018074,38.909716323018074,73.5,75.0,36.090283676981926,36.090283676981926,False,approach_neither,"[48.09028244018555, 16.80189323425293]",12.0,10.0,BL8ksJ0sTXk_3,BL8ksJ0sTXk,0-2s,harmful,1,87.0
4,7.7983532547950745,33.201646745204926,9.5,31.5,-1.7016467452049255,1.7016467452049255,False,approach_neither,"[113.29835510253906, 116.76966094970703]",115.0,4.0,BMayJId0X1s_1,BMayJId0X1s,2-5s,harmful,0,146.5
4,123.9756081700325,10.475608170032501,116.0,2.5,-7.975608170032501,-7.975608170032501,True,begin_hard_and_remain,"[175.52439880371094, 182.36952209472656]",183.5,13.0,BUAPM4D3-h8_2,BUAPM4D3-h8,0-2s,control,1,186.0
9,37.565919011831284,39.065919011831284,3.5,5.0,-34.065919011831284,-34.065919011831284,False,approach_gt,"[39.56591796875, 12.269530296325684]",5.5,4.5,Ba92IrXFvJo_1,Ba92IrXFvJo,2-5s,control,1,0.5
1,81.94316112995148,25.556838870048523,109.5,2.0,-23.556838870048523,27.556838870048523,True,begin_hard_and_remain,"[129.5568389892578, 112.79071807861328]",102.0,2.6666666666666665,Bvw2gv1fcZw_2,Bvw2gv1fcZw,2-5s,control,0,104.0
