qid,query,duration,vid,relevant_windows,gt_duration_sec,gt_union_duration_sec,gt_count,query_word_count,query_char_count,gt_duration_bin_fine,gt_duration_bin_broad,normalized_gt_width,r1_iou05,r1_iou07,oracle10_iou05,oracle10_iou07,final_width_sec,final_center_sec,center_error_sec,oracle10_best_iou,initial_width_norm_median,initial_width_sec_median,initial_width_gt_ratio_median,initial_width_gt_ratio_nearest_center,initial_nearest_center_error_sec,valid_tokens,gt_token_count,gt_token_fraction,best_gt_saliency,mean_gt_saliency,best_false_saliency,gt_vs_false_margin,gt_saliency_percentile,gt_saliency_rank,false_peaks_above_gt,false_peak_count,high_saliency_distractor_peak_count,nearby_best_saliency,gt_vs_nearby_margin,random_negative_best_mean,gt_vs_random_negative_margin,top1_gt_token,top3_gt_token,top5_gt_token,top10_gt_token,gt_token_center_sec,audio_duration_sec,qd_top1_center_hit_le_2s,short_failure_iou07,final_width_gt_ratio,qd_top1_center_sec,final_center_error_sec,audio_duration_group,audio_duration_group_threshold_sec,gt_count_bin,query_word_bin
-FW109cbv0g_2,A man speaks,96,-FW109cbv0g,"[[13, 15], [22, 24], [34, 36], [40, 42], [49, 50], [54, 55], [60, 62], [65, 70], [81, 83], [96, 97], [27, 29], [72, 74], [76, 78]]",5.0,26.0,13,3,12,5-10s,5-10s,0.052083333333333336,1.0,0.0,1.0,0.0,4.0,23.0,0.0,0.6666666666666666,0.5116411935411949,49.11755457995471,9.82351091599094,16.184513268249624,0.05120797803089516,96.0,25.0,0.2604166666666667,-10.53400993347168,-11.308955574035645,-11.032554626464844,0.49854469299316406,1.0,1.0,0.0,15.0,0.0,-11.032554626464844,0.49854469299316406,-11.172910957336425,0.6389010238647455,1.0,1.0,1.0,1.0,52.38,96.0,1.0,1.0,0.8,23.0,0.0,not_short_primary,nan,3+,0-5w
-FW109cbv0g_3,Someone spits,96,-FW109cbv0g,"[[20, 23], [86, 87]]",3.0,4.0,2,2,13,3-5s,2-5s,0.03125,1.0,0.0,1.0,0.0,3.0,20.5,1.0,0.5,0.5116411935411949,49.11755457995471,16.372518193318236,26.919572345892693,4.455001713888251,96.0,4.0,0.041666666666666664,-11.846025466918945,-12.453631401062012,-11.917864799499512,0.0718393325805664,1.0,1.0,0.0,25.0,7.0,-11.917864799499512,0.0718393325805664,-12.300377416610718,0.45435194969177317,1.0,1.0,1.0,1.0,37.75,96.0,1.0,1.0,1.0,20.5,1.0,shorter_or_equal_audio,188.5,2,0-5w
-FW109cbv0g_4,A man laughs,96,-FW109cbv0g,"[[30, 31], [45, 46], [52, 53], [55, 57], [79, 80], [95, 97]]",2.0,8.0,6,3,12,2-3s,2-5s,0.020833333333333332,0.0,0.0,0.0,0.0,4.0,37.0,6.5,0.25,0.5116411935411949,49.11755457995471,24.558777289977353,3.5586601724417264,0.3556592817988786,96.0,7.0,0.07291666666666667,-12.21234130859375,-12.413888931274414,-11.874818801879883,-0.3375225067138672,0.9270833333333334,8.0,7.0,25.0,8.0,-11.987266540527344,-0.22507476806640625,-12.208121757507325,-0.004219551086425355,0.0,0.0,0.0,1.0,59.357142857142854,96.0,0.0,1.0,2.0,37.0,6.5,shorter_or_equal_audio,188.5,3+,0-5w
-FW109cbv0g_5,Someone coughs,96,-FW109cbv0g,"[[82, 85], [90, 91]]",3.0,4.0,2,2,14,3-5s,2-5s,0.03125,0.0,0.0,0.0,0.0,5.0,15.5,68.0,0.25,0.5116411935411949,49.11755457995471,16.372518193318236,15.712773397318871,10.349697377778597,96.0,4.0,0.041666666666666664,-11.48317813873291,-11.792232751846313,-10.604019165039062,-0.8791589736938477,0.7291666666666666,27.0,26.0,24.0,7.0,-11.468106269836426,-0.015071868896484375,-11.299649324417114,-0.18352881431579604,0.0,0.0,0.0,0.0,85.25,96.0,0.0,1.0,1.6666666666666667,15.5,68.0,shorter_or_equal_audio,188.5,2,0-5w
-JP1GqPEKtw_1,"As a man speaks, something gets ground by a machine",299,-JP1GqPEKtw,"[[32, 86], [96, 108], [125, 190], [203, 244], [251, 283]]",65.0,204.0,5,10,51,20s+,10s+,0.21739130434782608,0.0,0.0,1.0,1.0,19.0,19.5,39.5,0.7857142857142857,0.5116411935411949,152.98071686881727,2.3535494902894962,2.7248717867067227,3.4384692378951343,299.0,204.0,0.6822742474916388,-11.852359771728516,-13.538486050624474,-11.486576080322266,-0.36578369140625,0.9832775919732442,6.0,5.0,27.0,8.0,-12.18570327758789,0.333343505859375,-11.486576080322266,-0.36578369140625,0.0,0.0,0.0,1.0,158.60294117647058,299.0,0.0,1.0,0.2923076923076923,19.5,39.5,not_short_primary,nan,3+,6-10w
-NrFeH-kBSM_1,A gun loads and fires,300,-NrFeH-kBSM,"[[1, 6]]",5.0,5.0,1,5,21,5-10s,5-10s,0.016666666666666666,0.0,0.0,1.0,1.0,12.0,165.0,161.5,0.7142857142857143,0.5116411935411949,153.49235806235845,30.69847161247169,40.207689196803024,44.75111916383658,300.0,5.0,0.016666666666666666,-11.212484359741211,-11.322192573547364,-11.266561508178711,0.0540771484375,1.0,1.0,0.0,94.0,14.0,-11.359882354736328,0.1473979949951172,-11.649246730804443,0.43676237106323157,1.0,1.0,1.0,1.0,3.5,300.0,0.0,1.0,2.4,165.0,161.5,not_short_primary,nan,1,0-5w
-NrFeH-kBSM_2,An animal calls out,300,-NrFeH-kBSM,"[[158, 159], [161, 162]]",1.0,2.0,2,4,19,1-2s,0-2s,0.0033333333333333335,0.0,0.0,0.0,0.0,9.0,9.5,149.0,0.058823529411764705,0.5116411935411949,153.49235806235845,153.49235806235845,22.24162607776079,14.611435255621501,300.0,2.0,0.006666666666666667,-11.92332649230957,-12.30109167098999,-11.303695678710938,-0.6196308135986328,0.8966666666666666,32.0,31.0,97.0,22.0,-12.370393753051758,0.4470672607421875,-12.259237890243531,0.33591139793396074,0.0,0.0,0.0,0.0,160.0,300.0,0.0,1.0,9.0,9.5,149.0,longer_audio,213.0,2,0-5w
-NrFeH-kBSM_3,An engine rumbles,300,-NrFeH-kBSM,"[[164, 175]]",11.0,11.0,1,3,17,10-20s,10s+,0.03666666666666667,0.0,0.0,1.0,0.0,10.0,165.0,4.5,0.5,0.5116411935411949,153.49235806235845,13.953850732941676,2.021966007069163,6.611435255621501,300.0,11.0,0.03666666666666667,-10.443883895874023,-10.517291155728428,-10.718567848205566,0.27468395233154297,1.0,1.0,0.0,91.0,11.0,-10.960981369018555,0.5170974731445312,-11.456588258743286,1.012704362869263,1.0,1.0,1.0,1.0,169.5,300.0,0.0,1.0,0.9090909090909091,165.0,4.5,not_short_primary,nan,1,0-5w
-NrFeH-kBSM_4,A received call tone rings amid sound effects,300,-NrFeH-kBSM,"[[198, 202]]",4.0,4.0,1,8,45,3-5s,2-5s,0.013333333333333334,0.0,0.0,0.0,0.0,10.0,11.0,189.0,0.4,0.5116411935411949,153.49235806235845,38.37308951558961,14.200241239407596,2.929737813242866,300.0,4.0,0.013333333333333334,-11.71441650390625,-11.877305030822754,-10.822959899902344,-0.8914566040039062,0.91,28.0,27.0,96.0,21.0,-11.509750366210938,-0.2046661376953125,-11.899947109222412,0.1855306053161616,0.0,0.0,0.0,0.0,200.0,300.0,0.0,1.0,2.5,11.0,189.0,longer_audio,188.5,1,6-10w
-aYumc8KoXg_1,The wind is blowing while a horn is honking,74,-aYumc8KoXg,"[[4, 7], [15, 17], [27, 28], [32, 33], [42, 44], [56, 58], [62, 65], [68, 73]]",5.0,19.0,8,9,43,5-10s,5-10s,0.06756756756756757,0.0,0.0,1.0,0.0,3.0,32.5,0.0,0.6666666666666666,0.5116411935411949,37.86144832204842,7.572289664409683,1.0972535531695322,0.4408206963866377,74.0,19.0,0.25675675675675674,-10.314340591430664,-11.053771922462865,-10.389830589294434,0.07548999786376953,1.0,1.0,0.0,14.0,4.0,-10.389830589294434,0.07548999786376953,-10.480084495544434,0.1657439041137696,1.0,1.0,1.0,1.0,44.81578947368421,74.0,1.0,1.0,0.6,32.5,0.0,not_short_primary,nan,3+,6-10w
-mhFGevxLUg_1,Music plays,300,-mhFGevxLUg,"[[0, 12]]",12.0,12.0,1,2,11,10-20s,10s+,0.04,1.0,1.0,1.0,1.0,12.0,6.0,0.0,1.0,0.5116411935411949,153.49235806235845,12.791029838529871,16.753203832001258,42.25111916383658,300.0,12.0,0.04,-9.95610237121582,-10.184364795684814,-10.180526733398438,0.2244243621826172,1.0,1.0,0.0,90.0,14.0,-10.180526733398438,0.2244243621826172,-11.017359972000122,1.0612576007843018,1.0,1.0,1.0,1.0,6.0,300.0,1.0,0.0,1.0,6.0,0.0,not_short_primary,nan,1,0-5w
-mhFGevxLUg_2,"A man laughs as he talks, while others around him laugh and respond",300,-mhFGevxLUg,"[[154, 161]]",7.0,7.0,1,13,67,5-10s,5-10s,0.023333333333333334,0.0,0.0,0.0,0.0,11.0,21.5,136.0,0.17647058823529413,0.5116411935411949,153.49235806235845,21.927479723194065,22.81106650355036,14.060127570888966,300.0,7.0,0.023333333333333334,-11.363176345825195,-11.642673219953265,-10.629215240478516,-0.7339611053466797,0.86,43.0,42.0,83.0,16.0,-11.581391334533691,0.2182149887084961,-11.188213262557984,-0.17496308326721177,0.0,0.0,0.0,0.0,157.5,300.0,0.0,1.0,1.5714285714285714,21.5,136.0,not_short_primary,nan,1,11-15w
-mhFGevxLUg_3,Someone coughs as a man talks,300,-mhFGevxLUg,"[[184, 188]]",4.0,4.0,1,6,29,3-5s,2-5s,0.013333333333333334,0.0,0.0,0.0,0.0,11.0,216.5,30.5,0.14285714285714285,0.5116411935411949,153.49235806235845,38.37308951558961,5.560406519440198,9.888564744378499,300.0,4.0,0.013333333333333334,-11.421853065490723,-11.55513882637024,-10.879088401794434,-0.5427646636962891,0.89,34.0,33.0,96.0,24.0,-11.399311065673828,-0.02254199981689453,-11.479797010421754,0.057943944931031055,0.0,0.0,0.0,0.0,186.0,300.0,0.0,1.0,2.75,216.5,30.5,longer_audio,188.5,1,6-10w
-nQHwrRLfc0_1,Footsteps echo,165,-nQHwrRLfc0,"[[2, 10]]",8.0,8.0,1,2,14,5-10s,5-10s,0.048484848484848485,1.0,1.0,1.0,1.0,9.0,4.5,1.5,0.7777777777777778,0.5116411935411949,84.42079693429716,10.552599616787145,13.821393161401039,20.53811554011012,165.0,8.0,0.048484848484848485,-11.018917083740234,-11.066586017608643,-10.827442169189453,-0.19147491455078125,0.9818181818181818,4.0,3.0,43.0,4.0,-10.827442169189453,-0.19147491455078125,-11.843700408935547,0.8247833251953125,0.0,0.0,1.0,1.0,6.0,165.0,1.0,0.0,1.125,4.5,1.5,not_short_primary,nan,1,0-5w
-nQHwrRLfc0_2,A button clicks,165,-nQHwrRLfc0,"[[12, 13]]",1.0,1.0,1,3,15,1-2s,0-2s,0.006060606060606061,0.0,0.0,0.0,0.0,7.0,4.5,8.0,0.16666666666666666,0.5116411935411949,84.42079693429716,84.42079693429716,110.57114529120831,14.03811554011012,165.0,1.0,0.006060606060606061,-11.019416809082031,-11.019416809082031,-11.0033540725708,-0.01606273651123047,0.9939393939393939,2.0,1.0,50.0,4.0,-11.133485794067383,0.11406898498535156,-12.218127784729004,1.1987109756469732,0.0,1.0,1.0,1.0,12.5,165.0,0.0,1.0,7.0,4.5,8.0,shorter_or_equal_audio,213.0,1,0-5w
-nQHwrRLfc0_3,A machine starts up as metal clangs,165,-nQHwrRLfc0,"[[15, 23]]",8.0,8.0,1,7,35,5-10s,5-10s,0.048484848484848485,1.0,1.0,1.0,1.0,11.0,18.5,0.5,0.7272727272727273,0.5116411935411949,84.42079693429716,10.552599616787145,13.821393161401039,7.53811554011012,165.0,8.0,0.048484848484848485,-10.229827880859375,-10.47793161869049,-10.396934509277344,0.16710662841796875,1.0,1.0,0.0,45.0,4.0,-10.396934509277344,0.16710662841796875,-10.994800987243652,0.7649731063842768,1.0,1.0,1.0,1.0,19.0,165.0,1.0,0.0,1.375,18.5,0.5,not_short_primary,nan,1,6-10w
-nQHwrRLfc0_4,A machine shuts down as metal clangs,165,-nQHwrRLfc0,"[[155, 164]]",9.0,9.0,1,7,36,5-10s,5-10s,0.05454545454545454,0.0,0.0,1.0,0.0,10.0,16.0,143.5,0.5555555555555556,0.5116411935411949,84.42079693429716,9.38008854825524,9.002109758880604,33.772917368056966,165.0,9.0,0.05454545454545454,-11.601081848144531,-12.051487180921766,-10.389802932739258,-1.2112789154052734,0.6606060606060606,57.0,56.0,50.0,7.0,-12.352502822875977,0.7514209747314453,-11.022907152175904,-0.5781746959686274,0.0,0.0,0.0,0.0,159.5,165.0,0.0,1.0,1.1111111111111112,16.0,143.5,not_short_primary,nan,1,6-10w
-oy0BkpMGAk_1,"Engines roar, brakes screech, and voices rise",80,-oy0BkpMGAk,"[[14, 18]]",4.0,4.0,1,7,45,3-5s,2-5s,0.05,1.0,0.0,1.0,0.0,4.0,15.0,1.0,0.6,0.5116411935411949,40.931295483295585,10.232823870823896,13.402563065601008,3.1330348896435787,80.0,4.0,0.05,-10.523479461669922,-10.64909052848816,-10.503503799438477,-0.019975662231445312,0.9875,2.0,1.0,23.0,5.0,-10.57354736328125,0.050067901611328125,-10.834774646759033,0.31129518508911147,0.0,1.0,1.0,1.0,16.0,80.0,1.0,1.0,1.0,15.0,1.0,shorter_or_equal_audio,188.5,1,6-10w
-oy0BkpMGAk_2,"Engines roar, brakes screech, applause erupts, and voices rise",80,-oy0BkpMGAk,"[[71, 80]]",9.0,9.0,1,9,62,5-10s,5-10s,0.1125,0.0,0.0,0.0,0.0,3.0,31.5,44.0,0.3333333333333333,0.5116411935411949,40.931295483295585,4.547921720366176,4.36465927703302,14.541414481482164,80.0,9.0,0.1125,-11.737119674682617,-11.992401546902126,-11.44182014465332,-0.2952995300292969,0.525,39.0,38.0,19.0,3.0,-11.73657512664795,-0.0005445480346679688,-11.508868732452392,-0.22825094223022546,0.0,0.0,0.0,0.0,75.5,80.0,0.0,1.0,0.3333333333333333,31.5,44.0,not_short_primary,nan,1,6-10w
-oy0BkpMGAk_3,"Engines roar, brakes screech, applause bursts out, and whistling echoes",80,-oy0BkpMGAk,"[[74, 76]]",2.0,2.0,1,10,71,2-3s,2-5s,0.025,0.0,0.0,0.0,0.0,3.0,71.5,3.5,0.0,0.5116411935411949,40.931295483295585,20.465647741647793,19.64096674664859,14.041414481482164,80.0,2.0,0.025,-11.919733047485352,-11.982263565063477,-11.566614151000977,-0.353118896484375,0.275,59.0,58.0,21.0,4.0,-11.691387176513672,-0.2283458709716797,-11.739954748153686,-0.1797782993316659,0.0,0.0,0.0,0.0,75.0,80.0,0.0,1.0,1.5,71.5,3.5,shorter_or_equal_audio,188.5,1,6-10w
096oTVzc5Gs_1,A woman talks while a dog howls,129,096oTVzc5Gs,"[[0, 6]]",6.0,6.0,1,7,31,5-10s,5-10s,0.046511627906976744,1.0,1.0,1.0,1.0,6.0,3.0,0.0,1.0,0.5116411935411949,66.00171396681414,11.00028566113569,14.407755295521083,17.74798124044973,129.0,6.0,0.046511627906976744,-11.280021667480469,-11.415916442871094,-11.37778091430664,0.09775924682617188,1.0,1.0,0.0,35.0,7.0,-11.37778091430664,0.09775924682617188,-11.734021348953247,0.45399968147277825,1.0,1.0,1.0,1.0,3.0,129.0,1.0,0.0,1.0,3.0,0.0,not_short_primary,nan,1,6-10w
096oTVzc5Gs_2,Acat cries out,129,096oTVzc5Gs,"[[46, 48], [106, 112]]",6.0,8.0,2,3,14,5-10s,5-10s,0.046511627906976744,0.0,0.0,1.0,1.0,7.0,3.5,43.5,0.75,0.5116411935411949,66.00171396681414,11.00028566113569,18.123283086842026,0.037560720479014265,129.0,8.0,0.06201550387596899,-10.48440170288086,-10.73672366142273,-10.229558944702148,-0.25484275817871094,0.937984496124031,9.0,8.0,34.0,5.0,-10.406152725219727,-0.07824897766113281,-10.511486930847168,0.027085227966308523,0.0,0.0,0.0,1.0,93.5,129.0,0.0,1.0,1.1666666666666667,3.5,43.5,not_short_primary,nan,2,0-5w
096oTVzc5Gs_3,Music is playing,129,096oTVzc5Gs,"[[44, 55], [62, 68], [93, 99]]",11.0,23.0,3,3,16,10-20s,10s+,0.08527131782945736,0.0,0.0,1.0,0.0,4.0,5.0,44.5,0.5833333333333334,0.5116411935411949,66.00171396681414,6.000155815164922,6.946807519469709,1.057065323372811,129.0,23.0,0.17829457364341086,-10.90931510925293,-11.911280880803647,-10.63823127746582,-0.2710838317871094,0.9922480620155039,2.0,1.0,30.0,5.0,-11.208208084106445,0.2988929748535156,-11.210413312911987,0.30109820365905726,0.0,1.0,1.0,1.0,65.67391304347827,129.0,0.0,1.0,0.36363636363636365,5.0,44.5,not_short_primary,nan,3+,0-5w
096oTVzc5Gs_4,A man talks as someone whistles,129,096oTVzc5Gs,"[[70, 71]]",1.0,1.0,1,6,31,1-2s,0-2s,0.007751937984496124,0.0,0.0,0.0,0.0,4.0,2.0,68.5,0.2,0.5116411935411949,66.00171396681414,66.00171396681414,9.56389921343714,5.227917159917254,129.0,1.0,0.007751937984496124,-11.742115020751953,-11.742115020751953,-10.759252548217773,-0.9828624725341797,0.8217054263565892,24.0,23.0,35.0,6.0,-11.770454406738281,0.028339385986328125,-12.145384759902955,0.4032697391510016,0.0,0.0,0.0,0.0,70.5,129.0,0.0,1.0,4.0,2.0,68.5,shorter_or_equal_audio,213.0,1,6-10w
0AsXkZkqelg_1,Something explodes and burns,172,0AsXkZkqelg,"[[0, 4]]",4.0,4.0,1,4,28,3-5s,2-5s,0.023255813953488372,1.0,0.0,1.0,0.0,8.0,4.0,2.0,0.5,0.5116411935411949,88.00228528908552,22.00057132227138,28.815510591042166,25.663974987266304,172.0,4.0,0.023255813953488372,-11.048028945922852,-11.165477275848389,-10.981565475463867,-0.06646347045898438,0.9883720930232558,3.0,2.0,48.0,7.0,-10.981565475463867,-0.06646347045898438,-11.902638072967529,0.854609127044677,0.0,1.0,1.0,1.0,2.0,172.0,1.0,1.0,2.0,4.0,2.0,shorter_or_equal_audio,188.5,1,0-5w
0AsXkZkqelg_2,A car engine starts up,172,0AsXkZkqelg,"[[11, 14]]",3.0,3.0,1,5,22,3-5s,2-5s,0.01744186046511628,0.0,0.0,1.0,0.0,10.0,14.0,1.5,0.5,0.5116411935411949,88.00228528908552,29.33409509636184,38.420680788056224,15.163974987266304,172.0,3.0,0.01744186046511628,-10.381418228149414,-10.74301274617513,-10.631935119628906,0.2505168914794922,1.0,1.0,0.0,48.0,9.0,-10.772595405578613,0.3911771774291992,-11.691956834793091,1.3105386066436768,1.0,1.0,1.0,1.0,12.5,172.0,1.0,1.0,3.3333333333333335,14.0,1.5,shorter_or_equal_audio,188.5,1,0-5w
0AsXkZkqelg_3,An engine hums,172,0AsXkZkqelg,"[[14, 165]]",151.0,151.0,1,3,14,20s+,10s+,0.877906976744186,1.0,1.0,1.0,1.0,145.0,90.5,1.0,0.9602649006622517,0.5116411935411949,88.00228528908552,0.5827965913184472,0.6062808845535238,7.261139807309675,172.0,151.0,0.877906976744186,-10.765995025634766,-11.24429616233371,-10.834571838378906,0.06857681274414062,1.0,1.0,0.0,5.0,1.0,-10.834571838378906,0.06857681274414062,-10.834571838378906,0.06857681274414062,1.0,1.0,1.0,1.0,89.5,172.0,1.0,0.0,0.9602649006622517,90.5,1.0,not_short_primary,nan,1,0-5w
